%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1675854939877249479,0,2.6380980150802906,2.157486996606365,1.4636259885619929,1.5964067549402832,5.136047304211297,9.056824389532137,2.735012322457949,1.3425736974563018
1675854939895261764,0,2.6415980199131965,2.1586048137992138,1.4637251219628618,1.5904027336610966,5.138555546396148,9.056791648767948,2.7357317719828513,1.3466081313539926
1675854939897788524,0,2.6381208994158953,2.158740898250637,1.465640106065359,1.584411018626049,5.1455209261648704,9.057267468293844,2.7374940553505573,1.3460386992119713
1675854939901924848,0,2.6413019719192716,2.158993738782541,1.4628532951723823,1.5822426283278503,5.145967615161257,9.058342819364222,2.7369251062368765,1.3462158472384376
1675854939902243137,0,2.6553040638081917,2.1588626645534656,1.4631572446055316,1.585126720787011,5.145332135411357,9.061811666342873,2.741443832211626,1.3391996516945892
1675854939913296699,0,2.669059053313773,2.162213923037305,1.4626456101920127,1.5874669915972857,5.145383058790109,9.063645689503822,2.742726853935603,1.3385193054049367
1675854939913666248,0,2.66807318316246,2.1618231380114814,1.4643975924717478,1.5929341613234682,5.147018163448385,9.063963838200149,2.7424613867002585,1.336736877437663
1675854939913996696,0,2.665674723968376,2.162554525005163,1.4606424644586404,1.5963703806844283,5.147128176659636,9.06420522388916,2.741717698742312,1.3339414992571024
1675854939914116621,0,2.6612113117426035,2.1599767193475543,1.4566590120450857,1.598156947656032,5.147663240058038,9.064456993072818,2.740027723453817,1.334302802647133
1675854939914235115,0,2.6662825544290443,2.1584120243241744,1.458749245862278,1.607927320461985,5.14648392162852,9.064140278188981,2.7403993825110975,1.3348695314111978
1675854939914313316,0,2.6692795412357593,2.157504475850649,1.459436031191944,1.6044881593528175,5.146613531512444,9.064059985391534,2.7395848731177654,1.3347352055337436
1675854939914388656,0,2.6684629655716714,2.157428488617415,1.459237056803035,1.6110087728237428,5.146573179945024,9.063979735898384,2.740750855801343,1.3305868392175997
1675854939914463996,0,2.670904570412499,2.1672423876757243,1.4575753568230858,1.6109052197462828,5.146306230360146,9.063991735201881,2.7377153512239,1.3321269532967728
1675854939914547204,0,2.6718855177737875,2.169344362116974,1.4572205324008451,1.6081702820566293,5.1466130170609405,9.062980470403035,2.7515720909881445,1.3319484333771345
1675854939914620637,0,2.664848517005326,2.1670551503800652,1.4549792681608558,1.6046928543337688,5.146725829020946,9.063067766745032,2.7525344203942606,1.3306502314296198
1675854939914720535,0,2.6654176083949612,2.167344761466819,1.455594105521838,1.6049099856854623,5.150790290572406,9.065747912217164,2.7553656542691543,1.3321650534384486
1675854939914809942,0,2.6756905740658357,2.1665794690795903,1.4546724520863483,1.6066155034748697,5.150410844115433,9.065346133337133,2.755500818263357,1.3310253942211667
1675854939937321186,0,2.6756507014846824,2.167590220266058,1.4540922807435106,1.589814930347385,5.150475449791175,9.062819836504612,2.755829108038067,1.3319435199620018
1675854939938346862,0,2.6786282325495057,2.163239612352807,1.4522771110340849,1.5894685487385811,5.150521355174811,9.06220443419666,2.756813887906421,1.3393436534643202
1675854939947981357,0,2.6846126681378726,2.1707884164305042,1.4684767034108295,1.5900242191878244,5.147624006889148,9.058471387637463,2.7575758935158556,1.324927222812671
1675854939954617500,0,2.6849028018699523,2.1685734678845767,1.4672211563444435,1.5888247437618912,5.149131845915481,9.059175564857304,2.7576576118180505,1.3225145657703061
1675854939957216024,0,2.6838395967846735,2.168600111335855,1.4686026174446098,1.5879583329877172,5.150270169149002,9.059117723603121,2.7568055691584914,1.3220586087951787
1675854939959982633,0,2.683305083274785,2.1626536637795497,1.4706548715521612,1.587961363916498,5.151105760978107,9.059704140160738,2.7566735831010356,1.3257461477318613
1675854939960151910,0,2.683555097320947,2.1620125968959796,1.47397307821979,1.5855570404432286,5.150905213777315,9.059708341068482,2.756244595194595,1.325440414616058
1675854939960415840,0,2.670628562496505,2.159879381409766,1.4738785287447214,1.5783818806220065,5.149517291661912,9.059559307313553,2.7565013273826566,1.3253805475555516
1675854939960500717,0,2.6674649929000753,2.164799268940698,1.4741767082137311,1.57650151596784,5.149744638232459,9.059326660240384,2.755482005450524,1.3246669175345762
1675854939960571289,0,2.665888192485836,2.168385677635288,1.4695384089823156,1.5862285446713156,5.149670261344785,9.059261966754766,2.756941717481118,1.3237479634225646
1675854939960641860,0,2.6654913484646454,2.1695503464236117,1.4723101480557377,1.5891212755269206,5.149271222530271,9.059684902008957,2.7589836471814344,1.324973713672426
1675854939960725307,0,2.66548374190899,2.17131362127248,1.4723142312977884,1.5942990317885906,5.149263579163573,9.059845180689843,2.7551886696938173,1.3234705704164982
1675854939960791349,0,2.6573995486650985,2.1656306341068414,1.4578502694722448,1.5317484551333755,5.150326825896635,9.062453315539557,2.727802487580439,1.3179671712737324
1675854939960872650,0,2.647260609078808,2.1634812826633656,1.448939256971746,1.5280875420972264,5.150817044708412,9.061979600340038,2.7280162710826668,1.3187701565891514
1675854939960948467,0,2.6432291215340156,2.1610914711377394,1.4483926193934547,1.5338729831765257,5.150623669224889,9.062065644907722,2.7307298747928677,1.3225185507500434
1675854939961025238,0,2.639447274512322,2.152516064801812,1.4626922736454702,1.5320163678498513,5.150432903282818,9.062136372285638,2.731425697978403,1.3217064685947528
1675854939961103916,0,2.6388567233809397,2.15034427502716,1.4698619094860974,1.521847983566612,5.1491829469562,9.063963346232102,2.730422599452003,1.3231297432922042
1675854939961180448,0,2.635673261686148,2.147893627766266,1.4697179561779417,1.516558899289915,5.148585480374522,9.067175357913026,2.730945041775093,1.3184204852741468
1675854939961258411,0,2.634011394469221,2.149367081822076,1.470445843286376,1.5201635656959887,5.146308613787517,9.06652983829131,2.7479890057660263,1.3177796357102942
1675854939961337804,0,2.6355980244417756,2.1669483296466163,1.472588256116026,1.545551986039175,5.145853866364135,9.06956144786261,2.7697878652977987,1.3165626745510997
1675854939961553573,0,2.6347824665485264,2.1744476506635406,1.4765208532914043,1.5495564477538477,5.145648988716707,9.072314425327413,2.7754161377366944,1.3159822334555291
1675854939961642026,0,2.6304302835534,2.179996193557805,1.478978978759827,1.5511702058702221,5.145102423853013,9.074748174410187,2.775670046108483,1.3055955809183606
1675854939961969852,0,2.6296025853463516,2.1816436609120498,1.4894677453756102,1.550641578397414,5.1437507737956345,9.074993024453779,2.779053927585448,1.3103915977891496
1675854939962793588,0,2.627150185713956,2.1825163125693727,1.482719333091543,1.5552890286086114,5.14329417922708,9.074963226563327,2.783186587396419,1.3117058705854516
1675854939967046260,0,2.5965270057133925,2.181596972588398,1.489366485947914,1.5194915835120755,5.090524558710008,8.985979061894657,2.7666934249727726,1.2852202989161943
1675854939967155933,0,2.5601119813369673,2.1820520520151083,1.4929388091292495,1.520348317006167,5.028846376034538,8.906889253529485,2.7565312673521403,1.2802662425808407
1675854939967254877,0,2.5412729994626164,2.1791960597110114,1.4861700016390675,1.5250997647972575,4.903295697266339,8.726324986803474,2.697416278728447,1.2637007705712155
1675854939967294692,0,2.492467140724899,2.1540731260019026,1.4765476306643888,1.532112783084082,4.790645378431902,8.53740364930824,2.6441319197947615,1.2657527831082267
1675854939967329025,0,2.4433087781329705,2.1250205899775048,1.4671109053431846,1.5468204788537954,4.773800126455137,8.499226052350188,2.6247787081200378,1.2652109575310353
1675854939967401027,0,2.4361837065627636,2.1236120848938156,1.462132234184809,1.549212426186816,4.773065764009954,8.497995978747607,2.6246515115005944,1.2561598678718326
1675854939967467546,0,2.4396359577317774,2.123659444162358,1.4670943877974132,1.5489629031827783,4.749038286905747,8.467582019854945,2.6197898060197318,1.245275741946374
1675854939967507362,0,2.445669333518448,2.1234417644781733,1.4645529781833313,1.5495478840819361,4.737642665471706,8.435872606031825,2.610380407181964,1.229858743987562
1675854939967540025,0,2.446501767816353,2.1155641745186378,1.463887076720923,1.5472909085654334,4.743068028732376,8.425742592829517,2.6112302726639443,1.2208823217005111
1675854939967571496,0,2.4518348617578,2.1111840922747094,1.4634251862142873,1.5382103205485045,4.744340022436311,8.409801435511197,2.614281474665043,1.2174439198482543
1675854940008745193,0,2.454364750107179,2.10493074707531,1.4628329383007248,1.5323372342775088,4.742416290236585,8.398982949713924,2.613512201635715,1.2173633593514936
1675854940023160219,0,2.4578624582884565,2.1004001271154813,1.4634354054117455,1.514777706915858,4.744909528301056,8.396563877139812,2.6016904589800354,1.2189592963381743
